image name,instagram post link,number of images in the post (1 - 6),"format (jpg, jpeg, heic, heif)","Upload quality (original, resized)",account info,color or gray_scaled
1_01_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCcpUw2pVhd/?igshid=ds59tc8yljub,1,jpg,resized,islab_compressed_jpg,color
1_02_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCcpXb_pwNV/?igshid=1cpsqjmr4l921,1,jpg,resized,islab_compressed_jpg,color
1_03_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCcpY7vpJfA/?igshid=vuu7rlijnfby,1,jpg,resized,islab_compressed_jpg,color
1_04_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCcpj8yJZ4n/?igshid=1s624i46me2tn,1,jpg,resized,islab_compressed_jpg,color
1_05_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCcpl2wpYCv/?igshid=15mqnp9jbv5a0,1,jpg,resized,islab_compressed_jpg,color
1_06_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCcpnedJdm7/?igshid=1eyu1hh7yi4qk,1,jpg,resized,islab_compressed_jpg,color
1_07_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCcppM_pRet/?igshid=1blc5ytxcclw,1,jpg,resized,islab_compressed_jpg,color
1_08_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCcpqq4JzuP/?igshid=pms2qh1uk38e,1,jpg,resized,islab_compressed_jpg,color
1_09_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCcpr60JVQ4/?igshid=kgz1b8huuqg2,1,jpg,resized,islab_compressed_jpg,color
1_10_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCcpubypZyp/?igshid=1kmo65gtt4btr,1,jpg,resized,islab_compressed_jpg,color
1_11_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCcpvuGp20d/?igshid=1m8rxqbsndjd2,1,jpg,resized,islab_compressed_jpg,color
1_12_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCcpw_qpqBz/?igshid=1p71eqydjxpv7,1,jpg,resized,islab_compressed_jpg,color
1_13_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCcpzscJvoK/?igshid=15k3id8btvcy7,1,jpg,resized,islab_compressed_jpg,color
1_14_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCcp1B4p9ZB/?igshid=1vp838u3nb7w3,1,jpg,resized,islab_compressed_jpg,color
1_15_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCcp2SIJ8FG/?igshid=ychbyzo5m0xd,1,jpg,resized,islab_compressed_jpg,color
1_16_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCcp5W3JE3y/?igshid=102nglztigczw,1,jpg,resized,islab_compressed_jpg,color
1_17_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCcp7QnpEkn/?igshid=1kuwpmo8wittb,1,jpg,resized,islab_compressed_jpg,color
1_18_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCcp8nAJBQ8/?igshid=1f3rncwwk3kk4,1,jpg,resized,islab_compressed_jpg,color
1_19_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCcp9-bJxEa/?igshid=c3uds66l6vbo,1,jpg,resized,islab_compressed_jpg,color
1_20_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCcp_PppTzt/?igshid=1kmh8vamhjldq,1,jpg,resized,islab_compressed_jpg,color
1_01_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcpUw2pVhd/?igshid=ds59tc8yljub,1,jpg,resized,islab_compressed_jpg,color
1_02_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcpXb_pwNV/?igshid=1cpsqjmr4l921,1,jpg,resized,islab_compressed_jpg,color
1_03_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcpY7vpJfA/?igshid=vuu7rlijnfby,1,jpg,resized,islab_compressed_jpg,color
1_04_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcpj8yJZ4n/?igshid=1s624i46me2tn,1,jpg,resized,islab_compressed_jpg,color
1_05_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcpl2wpYCv/?igshid=15mqnp9jbv5a0,1,jpg,resized,islab_compressed_jpg,color
1_06_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcpnedJdm7/?igshid=1eyu1hh7yi4qk,1,jpg,resized,islab_compressed_jpg,color
1_07_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcppM_pRet/?igshid=1blc5ytxcclw,1,jpg,resized,islab_compressed_jpg,color
1_08_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcpqq4JzuP/?igshid=pms2qh1uk38e,1,jpg,resized,islab_compressed_jpg,color
1_09_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcpr60JVQ4/?igshid=kgz1b8huuqg2,1,jpg,resized,islab_compressed_jpg,color
1_10_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcpubypZyp/?igshid=1kmo65gtt4btr,1,jpg,resized,islab_compressed_jpg,color
1_11_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcpvuGp20d/?igshid=1m8rxqbsndjd2,1,jpg,resized,islab_compressed_jpg,color
1_12_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcpw_qpqBz/?igshid=1p71eqydjxpv7,1,jpg,resized,islab_compressed_jpg,color
1_13_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcpzscJvoK/?igshid=15k3id8btvcy7,1,jpg,resized,islab_compressed_jpg,color
1_14_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcp1B4p9ZB/?igshid=1vp838u3nb7w3,1,jpg,resized,islab_compressed_jpg,color
1_15_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcp2SIJ8FG/?igshid=ychbyzo5m0xd,1,jpg,resized,islab_compressed_jpg,color
1_16_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcp5W3JE3y/?igshid=102nglztigczw,1,jpg,resized,islab_compressed_jpg,color
1_17_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcp7QnpEkn/?igshid=1kuwpmo8wittb,1,jpg,resized,islab_compressed_jpg,color
1_18_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcp8nAJBQ8/?igshid=1f3rncwwk3kk4,1,jpg,resized,islab_compressed_jpg,color
1_19_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcp9-bJxEa/?igshid=c3uds66l6vbo,1,jpg,resized,islab_compressed_jpg,color
1_20_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcp_PppTzt/?igshid=1kmh8vamhjldq,1,jpg,resized,islab_compressed_jpg,color
