"image name ('number of images in this post'_'post number'_'position of the image in this post'_'db name'_'whether image is bw'_'whether image is uploaded to instagram or before uploaded'_'whether image has been ""no modification"", ""resized"" or ""modified""'_'filter name'_'additional data')",instagram post link,number of images in that post (1 - 6),"format (jpg, jpeg, heic, heif)","Upload quality (original, resized)",account info,color or gray_scaled
3_01_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCcwTNrJa0W/?igshid=1jfxydsahcbiw,3,jpg,resized,islab_compressed_jpg,color
3_01_2_com_cr_org_res_nfit,https://www.instagram.com/p/CCcwTNrJa0W/?igshid=1jfxydsahcbiw,3,jpg,resized,islab_compressed_jpg,color
3_01_3_com_cr_org_res_nfit,https://www.instagram.com/p/CCcwTNrJa0W/?igshid=1jfxydsahcbiw,3,jpg,resized,islab_compressed_jpg,color
3_02_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCcwVGVpuoL/?igshid=7aa9593rna4e,3,jpg,resized,islab_compressed_jpg,color
3_02_2_com_cr_org_res_nfit,https://www.instagram.com/p/CCcwVGVpuoL/?igshid=7aa9593rna4e,3,jpg,resized,islab_compressed_jpg,color
3_02_3_com_cr_org_res_nfit,https://www.instagram.com/p/CCcwVGVpuoL/?igshid=7aa9593rna4e,3,jpg,resized,islab_compressed_jpg,color
3_03_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCcwdvTJGeC/?igshid=z1kve74yqqq,3,jpg,resized,islab_compressed_jpg,color
3_02_2_com_cr_org_res_nfit,https://www.instagram.com/p/CCcwdvTJGeC/?igshid=z1kve74yqqq,3,jpg,resized,islab_compressed_jpg,color
3_03_3_com_cr_org_res_nfit,https://www.instagram.com/p/CCcwdvTJGeC/?igshid=z1kve74yqqq,3,jpg,resized,islab_compressed_jpg,color
3_04_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCcwfzqpSrK/?igshid=1tqzubapb0xvz,3,jpg,resized,islab_compressed_jpg,color
3_04_2_com_cr_org_res_nfit,https://www.instagram.com/p/CCcwfzqpSrK/?igshid=1tqzubapb0xvz,3,jpg,resized,islab_compressed_jpg,color
3_04_3_com_cr_org_res_nfit,https://www.instagram.com/p/CCcwfzqpSrK/?igshid=1tqzubapb0xvz,3,jpg,resized,islab_compressed_jpg,color
3_05_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCcwhspJEH8/?igshid=oe7akmxnpsv0,3,jpg,resized,islab_compressed_jpg,color
3_05_2_com_cr_org_res_nfit,https://www.instagram.com/p/CCcwhspJEH8/?igshid=oe7akmxnpsv0,3,jpg,resized,islab_compressed_jpg,color
3_05_3_com_cr_org_res_nfit,https://www.instagram.com/p/CCcwhspJEH8/?igshid=oe7akmxnpsv0,3,jpg,resized,islab_compressed_jpg,color
3_06_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCcwkVvpS0I/?igshid=134m21dhipqos,3,jpg,resized,islab_compressed_jpg,color
3_06_2_com_cr_org_res_nfit,https://www.instagram.com/p/CCcwkVvpS0I/?igshid=134m21dhipqos,3,jpg,resized,islab_compressed_jpg,color
3_06_3_com_cr_org_res_nfit,https://www.instagram.com/p/CCcwkVvpS0I/?igshid=134m21dhipqos,3,jpg,resized,islab_compressed_jpg,color
3_07_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCcwmWxJoIg/?igshid=zlo1wp63n05r,3,jpg,resized,islab_compressed_jpg,color
3_07_2_com_cr_org_res_nfit,https://www.instagram.com/p/CCcwmWxJoIg/?igshid=zlo1wp63n05r,3,jpg,resized,islab_compressed_jpg,color
3_07_3_com_cr_org_res_nfit,https://www.instagram.com/p/CCcwmWxJoIg/?igshid=zlo1wp63n05r,3,jpg,resized,islab_compressed_jpg,color
3_08_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCcwoFApUb5/?igshid=3odk1vyavn08,3,jpg,resized,islab_compressed_jpg,color
3_08_2_com_cr_org_res_nfit,https://www.instagram.com/p/CCcwoFApUb5/?igshid=3odk1vyavn08,3,jpg,resized,islab_compressed_jpg,color
3_08_3_com_cr_org_res_nfit,https://www.instagram.com/p/CCcwoFApUb5/?igshid=3odk1vyavn08,3,jpg,resized,islab_compressed_jpg,color
3_09_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCcwp4BpNbC/?igshid=uq1zpiahnqic,3,jpg,resized,islab_compressed_jpg,color
3_09_2_com_cr_org_res_nfit,https://www.instagram.com/p/CCcwp4BpNbC/?igshid=uq1zpiahnqic,3,jpg,resized,islab_compressed_jpg,color
3_09_3_com_cr_org_res_nfit,https://www.instagram.com/p/CCcwp4BpNbC/?igshid=uq1zpiahnqic,3,jpg,resized,islab_compressed_jpg,color
3_10_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCcwsZap4wh/?igshid=4qvj4197rr0h,3,jpg,resized,islab_compressed_jpg,color
3_10_2_com_cr_org_res_nfit,https://www.instagram.com/p/CCcwsZap4wh/?igshid=4qvj4197rr0h,3,jpg,resized,islab_compressed_jpg,color
3_10_3_com_cr_org_res_nfit,https://www.instagram.com/p/CCcwsZap4wh/?igshid=4qvj4197rr0h,3,jpg,resized,islab_compressed_jpg,color
3_01_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcwTNrJa0W/?igshid=1jfxydsahcbiw,3,jpg,resized,islab_compressed_jpg,color
3_01_2_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcwTNrJa0W/?igshid=1jfxydsahcbiw,3,jpg,resized,islab_compressed_jpg,color
3_01_3_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcwTNrJa0W/?igshid=1jfxydsahcbiw,3,jpg,resized,islab_compressed_jpg,color
3_02_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcwVGVpuoL/?igshid=7aa9593rna4e,3,jpg,resized,islab_compressed_jpg,color
3_02_2_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcwVGVpuoL/?igshid=7aa9593rna4e,3,jpg,resized,islab_compressed_jpg,color
3_02_3_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcwVGVpuoL/?igshid=7aa9593rna4e,3,jpg,resized,islab_compressed_jpg,color
3_03_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcwdvTJGeC/?igshid=z1kve74yqqq,3,jpg,resized,islab_compressed_jpg,color
3_02_2_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcwdvTJGeC/?igshid=z1kve74yqqq,3,jpg,resized,islab_compressed_jpg,color
3_03_3_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcwdvTJGeC/?igshid=z1kve74yqqq,3,jpg,resized,islab_compressed_jpg,color
3_04_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcwfzqpSrK/?igshid=1tqzubapb0xvz,3,jpg,resized,islab_compressed_jpg,color
3_04_2_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcwfzqpSrK/?igshid=1tqzubapb0xvz,3,jpg,resized,islab_compressed_jpg,color
3_04_3_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcwfzqpSrK/?igshid=1tqzubapb0xvz,3,jpg,resized,islab_compressed_jpg,color
3_05_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcwhspJEH8/?igshid=oe7akmxnpsv0,3,jpg,resized,islab_compressed_jpg,color
3_05_2_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcwhspJEH8/?igshid=oe7akmxnpsv0,3,jpg,resized,islab_compressed_jpg,color
3_05_3_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcwhspJEH8/?igshid=oe7akmxnpsv0,3,jpg,resized,islab_compressed_jpg,color
3_06_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcwkVvpS0I/?igshid=134m21dhipqos,3,jpg,resized,islab_compressed_jpg,color
3_06_2_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcwkVvpS0I/?igshid=134m21dhipqos,3,jpg,resized,islab_compressed_jpg,color
3_06_3_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcwkVvpS0I/?igshid=134m21dhipqos,3,jpg,resized,islab_compressed_jpg,color
3_07_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcwmWxJoIg/?igshid=zlo1wp63n05r,3,jpg,resized,islab_compressed_jpg,color
3_07_2_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcwmWxJoIg/?igshid=zlo1wp63n05r,3,jpg,resized,islab_compressed_jpg,color
3_07_3_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcwmWxJoIg/?igshid=zlo1wp63n05r,3,jpg,resized,islab_compressed_jpg,color
3_08_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcwoFApUb5/?igshid=3odk1vyavn08,3,jpg,resized,islab_compressed_jpg,color
3_08_2_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcwoFApUb5/?igshid=3odk1vyavn08,3,jpg,resized,islab_compressed_jpg,color
3_08_3_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcwoFApUb5/?igshid=3odk1vyavn08,3,jpg,resized,islab_compressed_jpg,color
3_09_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcwp4BpNbC/?igshid=uq1zpiahnqic,3,jpg,resized,islab_compressed_jpg,color
3_09_2_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcwp4BpNbC/?igshid=uq1zpiahnqic,3,jpg,resized,islab_compressed_jpg,color
3_09_3_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcwp4BpNbC/?igshid=uq1zpiahnqic,3,jpg,resized,islab_compressed_jpg,color
3_10_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcwsZap4wh/?igshid=4qvj4197rr0h,3,jpg,resized,islab_compressed_jpg,color
3_10_2_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcwsZap4wh/?igshid=4qvj4197rr0h,3,jpg,resized,islab_compressed_jpg,color
3_10_3_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcwsZap4wh/?igshid=4qvj4197rr0h,3,jpg,resized,islab_compressed_jpg,color
